plan_index,status,title,parent_category,subject,material_category,file_count,size_mb,upload_mode_hint,tags,description
1,skipped_by_default_policy,C++ Primer Plus：中文版（第六版） (Stephen Prata) (Z-Library),课程,c++,教材,1,300.84,single_page_multi_file,c++ | 教材 | C++ | C++ Primer Plus | 第六版 | 中文版,收录c++相关教材，共1个文件，约300.8MB。关键词：C++、C++ Primer Plus、第六版、中文版、教材。内容概览：C++ Primer Plus（第六版）中文版，由Stephen Prata编写，是C++编程语言的经典入门教材，涵盖基础语法、面向对象编程、模板、STL等核心知识点，适合初学者系统学习C++。
2,skipped_by_default_policy,python教材,课程,python,教材,2,89.69,single_page_multi_file,python | 教材 | Python | 数学实验 | 建模 | 司守奎 | 孙玺菁 | Python编程 | 从入门到实践,收录python相关教材，共2个文件，约89.7MB。关键词：教材、Python、数学实验、建模、司守奎、孙玺菁、Python编程、从入门到实践。内容概览：Python数学实验与建模教材，由司守奎和孙玺菁编写，涵盖Python在数学实验与建模中的应用，适合高校数学、统计及计算机专业学生使用。 《Python编程：从入门到实践（第3版）》由埃里克·马瑟斯著，袁国忠译。本书涵盖Python基础与实战，包括编程环境搭建、变量、字符串等，适合初学者入门。
3,uploaded,习思想_习概复习资料,课程,习思想_习概,复习资料,8,16.99,single_page_multi_file,习思想_习概 | 复习资料 | 十五五规划 | 习概 | 时政 | 2025年 | 习近平新时代中国特色社会主义思想 | 导论 | 国民经济和社会发展 | 习近平思想,收录习思想_习概相关复习资料，共8个文件，约17.0MB。关键词：十五五规划、习概、时政、2025年、习近平新时代中国特色社会主义思想、导论、国民经济和社会发展、习近平思想。内容概览：中共中央关于制定国民经济和社会发展第十五个五年规划的建议，于2025年10月23日由中国共产党第二十届中央委员会第四次全体会议通过。文件分析了国际国内形势，总结了十四五时期成就，明确了十五五时期作为基本实现社会主义现代化关键时期的定位，提出了指导方针和主要目标，强调贯彻习近平新时代中国特色社会主义思想，推动高质量发展。全文包含划重点内容，便于学习理解。 该文
4,uploaded,习思想_习概实验资料,课程,习思想_习概,实验资料,5,7.44,single_page_multi_file,习思想_习概 | 实验资料 | 习近平新时代中国特色社会主义思想 | 二十大报告 | 习概 | 提纲 | 中国特色社会主义 | 中国式现代化 | 二十届四中全会 | 十五五规划,收录习思想_习概相关实验资料，共5个文件，约7.4MB。关键词：习近平新时代中国特色社会主义思想、二十大报告、习概、提纲、中国特色社会主义、中国式现代化、二十届四中全会、十五五规划。内容概览：该报告深入解析了二十届四中全会战略全景与“十五五”规划，涵盖会议议程、政治逻辑、发展环境研判、核心目标、科技创新、新质生产力、经济体制改革及高水平对外开放等核心内容。 该文件为《习概提纲（重排版+二十大报告）》，包含导论及第一章内容，涵盖习近平新时代中国特色社会主义思想创立的时代背景、两个结合、主要内容、历史地位、两个确立，以及新时代坚持和发展中国特色社会主
5,uploaded,习思想_习概往年题,课程,习思想_习概,往年题,8,18.61,single_page_multi_file,习思想_习概 | 往年题 | 习概 | 习近平新时代中国特色社会主义思想 | 导论 | 2024-2025 | 题库 | 混合 | 新时代 | 中国梦,收录习思想_习概相关往年题，共8个文件，约18.6MB。关键词：习概、习近平新时代中国特色社会主义思想、导论、2024-2025、题库、混合、新时代、中国梦。内容概览：华中科技大学2024-2025学年第一学期《习近平新时代中国特色社会主义思想概论》A卷回忆版，开卷考试，时长120分钟。包含20道单项选择题，覆盖新时代社会主要矛盾、思想建党、马克思主义中国化时代化、文化自信、总体国家安全观、教育定位、新时代课题、实体经济、六个必须坚持、四个全面、新发展阶段、新发展格局、统一战线、全面依法治国、人民之问、自我革命、生态文明等
6,skipped_by_default_policy,习思想_习概教材,课程,习思想_习概,教材,4,4.53,single_page_multi_file,习思想_习概 | 教材 | 马克思主义基本原理 | 复习提纲 | 知识点 | 2023 | 习思想 | 中国特色社会主义 | 中国式现代化 | 党的领导,收录习思想_习概相关教材，共4个文件，约4.5MB。关键词：马克思主义基本原理、复习提纲、知识点、2023、习思想、中国特色社会主义、中国式现代化、党的领导。内容概览：该文档为《习概》课程各章重点题目提纲与页码索引，涵盖习近平新时代中国特色社会主义思想、中国特色社会主义、中国式现代化、党的领导、改革开放、高质量发展等核心知识点，按章节列出关键问题及对应教材页码，便于复习检索。 该文件为《马克思主义基本原理》复习提纲，基于2023年修订版教材，涵盖导论和第一章内容，包括马克思主义的定义、三个组成部分、创立背景、鲜明特征，以及
7,uploaded,习近平总书记教育重要论述讲义,课程,习思想_习概,课件,1,0.42,single_page_multi_file,习思想_习概 | 课件 | 习近平总书记教育重要论述 | 教育强国 | 时代背景 | 讲义,收录习思想_习概相关课件，共1个文件，约0.4MB。关键词：习近平总书记教育重要论述、教育强国、时代背景、讲义。内容概览：该文本为《习近平总书记教育重要论述讲义》导言部分，阐述了习近平总书记教育重要论述的时代背景，包括全球发展大势、中国特色社会主义进入新时代以及中国教育改革发展历史经验等，强调教育的基础性、先导性、全局性地位和作用。
8,uploaded,习思想_习概课程资料,课程,习思想_习概,课程资料,7,33.45,single_page_multi_file,习思想_习概 | 课程资料 | 中国式现代化 | 十五五规划 | 习近平 | 公报 | 二十届四中全会 | 两个确立 | 两个维护 | 四个意识,收录习思想_习概相关课程资料，共7个文件，约33.4MB。关键词：中国式现代化、十五五规划、习近平、公报、二十届四中全会、两个确立、两个维护、四个意识。内容概览：文档系统总结了习近平新时代中国特色社会主义思想的核心内容，包括政治准则、思想政治基础、理论核心、实践方略、实践成果和立场观点方法。 中共中央关于进一步全面深化改革、推进中国式现代化的决定，是指导当前和今后一个时期改革发展的纲领性文件，涵盖经济、政治、文化、社会、生态文明等各领域改革部署。
9,uploaded,信号与系统吴大正,课程,信号与系统,吴大正,16,28.7,single_page_multi_file,信号与系统 | 吴大正 | 教案 | 电子教案 | 西安电子科技大学 | 时域分析 | 离散系统 | 差分方程 | 傅里叶变换,收录信号与系统相关吴大正，共16个文件，约28.7MB。关键词：信号与系统、教案、电子教案、西安电子科技大学、时域分析、离散系统、差分方程、傅里叶变换。内容概览：该文档为西安电子科技大学《信号与系统》课程第一章电子教案，涵盖信号与系统的基本概念、信号的描述与分类、信号的基本运算、阶跃函数和冲激函数、系统的性质及分类、系统的描述以及LTI系统分析方法概述。 信号与系统课程第1章教学PPT，包含基本概念与课程介绍。
10,skipped_by_default_policy,信号与系统复习资料,课程,信号与系统,复习资料,15,201.82,single_page_multi_file,信号与系统 | 复习资料 | 习题解答 | 傅里叶变换 | 笔记 | LTI系统 | Cheat Sheet | Hikari | ver2.0,收录信号与系统相关复习资料，共15个文件，约201.8MB。关键词：信号与系统、习题解答、傅里叶变换、笔记、LTI系统、Cheat Sheet、Hikari、ver2.0。内容概览：本章介绍z变换的定义、收敛域（ROC）、逆z变换、几何求傅里叶变换、性质、常用变换对、LTI系统分析与表征、系统函数代数与框图、单边z变换。重点包括z变换与拉普拉斯变换、傅里叶变换的关系，以及ROC的性质。 本章介绍线性反馈系统的概念、应用及后果，重点讲解根轨迹分析和奈奎斯特稳定性判据，并讨论增益裕度和相位裕度。反馈可降低系统对扰动和误差的灵敏度，闭环系统相
