row,action,operation,src,dst,status,files,size_bytes,note
1,move_dir_under_subject,move_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\c++,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\C++程序设计\c++,ok,71,435668420,
2,move_dir_under_subject,move_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\Java,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\Java程序设计\Java,ok,10,16879902,
3,move_dir_under_subject,move_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\Verilog,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\Verilog设计\Verilog,ok,1,1067085,
4,move_dir_under_subject,move_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\C课设,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\C程序设计\C课设,ok,2,469327,
5,move_dir_under_subject,move_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\华科PPT模板,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\PPT模板\华科PPT模板,ok,1,135854139,
6,move_dir_under_subject,move_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\人工智能导论（计科）,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\人工智能导论\人工智能导论（计科）,ok,1,1324903,
7,move_dir_under_subject,move_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\汇编语言程序设计,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\汇编语言\汇编语言程序设计,ok,1,241664,
8,move_dir_under_subject,move_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\数据库技术与应用,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\数据库\数据库技术与应用,ok,1,21157,
9,move_dir_under_subject,move_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\计算机安全技术,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\计算机安全\计算机安全技术,ok,1,311,
10,move_dir_under_subject,move_dir,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\近现代史,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\中国近现代史纲要\近现代史,ok,31,44452438,
