batch_id,batch_status,page_id,title,category_parent,category_name,major,creator_name,creator_id,file_entries,unique_file_ids,total_size_bytes,total_size_mib,original_done_file_entries,original_failed_file_entries,original_not_in_state_file_entries,views,total_downloads,created_at,updated_at
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69e36d13620074080627cfd3,毛泽东思想和中国特色社会主义理论体系概论往年期末题,课程,毛泽东思想和中国特色社会主义理论体系概论,计算机科学与技术,冰岩作坊,69955429d30401dc130fd331,7,7,2314919,2.208,7,0,0,2707,879,2026-04-18T11:37:55.297Z,
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,6a23fc3f82ff2e3e38551bb0,概率论2024/2023/2021试卷,课程,概率论与数理统计,计算机科学与技术,怡红主人,6a158f8da96692fab2fd5181,5,5,3908027,3.727,5,0,0,2847,874,2026-06-06T10:53:51.15Z,2026-06-06T10:53:51.15Z
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69d3c02de847b61cbf71c528,数据库系统原理试卷,课程,数据库系统原理,计算机科学与技术,冰岩作坊,69955429d30401dc130fd331,10,10,52774212,50.329,10,0,0,2307,600,2026-04-06T14:16:13.265Z,2026-04-06T14:16:13.265Z
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69fbe5d3d0537a25e4ceaa7f,微积分（B）考试合集,课程,微积分 (B),密码科学与技术,Na_Bian,69fbe4a6d0537a25e4ceaa77,1,1,2170693,2.07,1,0,0,3717,585,2026-05-07T01:07:31.574Z,2026-05-29T10:52:42.545Z
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,6a29045a0c3e53a8e9813041,概率论与数理统计往年真题,课程,概率论与数理统计,计算机科学与技术,流华纪,6a156099a96692fab2fd5159,11,11,20024578,19.097,11,0,0,1352,580,2026-06-10T06:29:46.598Z,2026-06-10T06:29:46.598Z
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,6a29054e0c3e53a8e981304b,大学物理22-24真题,课程,大学物理,计算机科学与技术,流华纪,6a156099a96692fab2fd5159,3,3,4288376,4.09,3,0,0,2434,577,2026-06-10T06:33:50.703Z,2026-06-10T06:33:50.703Z
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,6a4463bf5e75a9a64e046f7f,《毛泽东思想和中国特色社会主义理论体系概论》复习资料,课程,毛泽东思想和中国特色社会主义理论体系概论,机械设计制造及其自动化,Ashitaka,6a43efc55e75a9a64e046ed1,44,44,89114983,84.987,44,0,0,793,544,2026-07-01T00:47:59.899Z,2026-07-01T00:47:59.899Z
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69a4fb2bbf7e2f5404a1aaa5,计科编译原理往年题,课程,编译原理,计算机科学与技术,冰岩作坊,69955429d30401dc130fd331,10,10,8480747,8.088,10,0,0,1043,478,2026-03-02T02:51:23.126Z,2026-03-02T02:51:23.126Z
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69d3bff0e847b61cbf71c51d,计科数据库系统原理课件,课程,数据库系统原理,计算机科学与技术,冰岩作坊,69955429d30401dc130fd331,48,48,84435537,80.524,48,0,0,321,460,2026-04-06T14:15:12.798Z,2026-04-06T14:15:12.798Z
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,69d4e3c8e97c3e20fbc59b96,概率论与数理统计试卷,课程,概率论与数理统计,计算机科学与技术,冰岩作坊,69955429d30401dc130fd331,6,6,18633821,17.771,6,0,0,1332,449,2026-04-07T11:00:24.586Z,2026-04-07T11:00:24.586Z
1037wiki_download_2026-07-01_assumed_archived,assumed_downloaded_archived,6a1167779b187836f8cba6a6,四级真题,技能考试,四六级,计算机科学与技术,冰岩作坊,69955429d30401dc130fd331,7,7,316441121,301.782,7,0,0,1160,430,2026-05-23T08:38:15.412Z,2026-05-23T08:38:15.412Z
