action,src,dst,src_exists,dst_exists,within_root,files,size_bytes,size_mib,reason
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\c++,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\C++程序设计\c++,True,False,True,71,435668420,415.486,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\Java,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\Java程序设计\Java,True,False,True,10,16879902,16.098,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\Verilog,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\Verilog设计\Verilog,True,False,True,1,1067085,1.018,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\C课设,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\C程序设计\C课设,True,False,True,2,469327,0.448,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\华科PPT模板,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\PPT模板\华科PPT模板,True,False,True,1,135854139,129.561,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\人工智能导论（计科）,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\人工智能导论\人工智能导论（计科）,True,False,True,1,1324903,1.264,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\汇编语言程序设计,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\汇编语言\汇编语言程序设计,True,False,True,1,241664,0.23,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\数据库技术与应用,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\数据库\数据库技术与应用,True,False,True,1,21157,0.02,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\计算机安全技术,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\计算机安全\计算机安全技术,True,False,True,1,311,0.0,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\近现代史,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\中国近现代史纲要\近现代史,True,False,True,31,44452438,42.393,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\毛概,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\毛泽东思想和中国特色社会主义理论体系概论\毛概,True,False,True,72,359584571,342.927,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\模电,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\模拟电子技术\模电,True,False,True,15,287310940,274.001,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\大物实验,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\大学物理\大物实验,True,False,True,14,90706654,86.505,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\物理实验,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\大学物理\物理实验,True,False,True,3,172030,0.164,alias_or_category_merge_keep_source_subfolder
move_dir_under_subject,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\华为求职资料,C:\Users\Cooper\Desktop\Cooper_bot\data\public\textbook_and_material\求职就业\华为求职资料,True,False,True,5,11278850,10.756,alias_or_category_merge_keep_source_subfolder
